"","title","category","impact_story","program_description"
"47","Help a poor child get education and residential care by Social Action for Manpower Creation","children","Every monthly donation helps provide shelter to more kids like Shrawan
Thirteen-year-old Shrawan lost his father when he was very young. His mother works as a cook in a school. They couldn't afford to rent a home and hence had to live with relatives. Due to their economic condition, his mother enrolled him in the SAMPARC Balgram, Jodhpur.
 Here he started to receive care, shelter, guidance, and education and his studies have improved. He stood 2nd in class in grade 8 and 1st in grade 9. He received a Tablet PC through the Rajasthan Government Scheme. He is now 17 years old. He scored 64% in Class X with the help of tuitions arranged by the Balgram.
 He is now in class XII. He has left his past behind and works hard towards a better future..
","Working since 1984 for the children, Amitkumar Banerjee realized that children need an integrated support for development. At that time children of socially victim women, children of convicts received no support from government or any agency. Mr.Banerjee felt that every child needs shelter, care and protection and opportunity to grow. Thus SAMPARC - Social Action for Manpower Creation was born as an organization in 1990. The journey of SAMPARC began with only 7 orphans and today over 500 children - orphan, children of socially victim women, destitute, and needy and also children of convicts, all of them are living under one shelter known as Balgram of SAMPARC organization. They do not have the social stigma of whatever background they came from. They grow freely like other common children. They grow with all cultural and social values. At the same time, they learn various social and cultural values and traditions and are exposed to community life. The organization has served around 500 children. In 2016, Amit Banerjee was awarded the Samajik Puraskar Award by the Parampujya Swami Ramdevji Maharaj Yog Diksha & Rashtranirman Sabha for special contribution towards the care and protection and holistic development of orphan and destitute children.... Read more"
"48","Help a special needs child get access to nutrition by Sri Arunodayam","children","No illness could crush Sai Laksmi’s spirit to survive!
Sai Lakshmi was born with several developmental issues. She was enrolled in Sri Arunodayam when she was two months old. 
At the time, she had tuberculosis. Her muscles were limp and she was bedridden. Her body was tiny and weak and she had no control over her head movements.
The orphanage helped Sai Lakshmi by getting her all the medical attention that she needed. Soon, she was cured of TB. Regular exercises also helped her gain head control. 
She is now a little over two years old. She can sit for long periods and even walk with a baby walker. A therapist is working with her to strengthen her hip and abdomen muscles. She also has a tumor on her brain stem that needs treatment. 
Sai Lakshmi came to the orphanage in a painful condition. Her progress has been significant but she still has ways to go to completely recover. She could undergo so many treatments only because she had a constant supply of nutrition to sustain her weak body.
You can contribute to help a child like Sai Lakshmi get the food they need to withstand intensive treatment. You can give with confidence because every program on our platform is GIVEASSURED. Your contribution could give a poor child the only chance they have for recovery.
","Sri Arunodayam is a Registered Charitable Trust that was founded to fill the gap of awareness and medical facilities for the marginalized sections of humanity. The organization has built its foundation on humanitarian values that uphold the dignity and right of this much-neglected section of the society and have set out with a vision to ensure that the mentally challenged children remain safe and enjoy equal opportunities. With a staff of over 50, the organization has worked relentlessly towards providing care and protection to the mentally challenged abandoned children and has promoted the rights of such children along with encouraging the society to integrate them. The organization has provided food, medical care, clothing, physiotherapy, special education and speech therapy to 106 children and restored 77 abandoned Mentally Challenged Children with their parents. Their honorable work was awarded the World of Children Award by the World of Children Foundation for their Humanitarian service and the Duruva Star Award by the Sudesi Magazine for their service to the Mentally Challenged. With an emphasis on ability rather than disability, their core values reflected in their work include Transparency, Credibility, Equality, Compassion, Dignity, and Inclusion... Read more"
"49","Help special needs children get access to care and support by Sri Arunodayam","children","Every monthly donation helps more children like Kalpaga get care
Four-year-old Kalpaga was born with a severe intellectual disability, so her parents gave her up to the Cradle Baby Center in Dharmapuri. She was sent from institution to institution before finally landing up at Sri Arunodayam. Her physical and social development was severely delayed and she needed constant supervision.
 The caregivers provided her the care she needed round the clock. They cared for her like real parents. With care and physiotherapy, she is now transforming her life.
 She can now stand and walk on her own, and her hand-eye coordination has improved tremendously. By supporting the care mothers you can enable them to provide care to many mentally challenged children.
","Sri Arunodayam is a Registered Charitable Trust that was founded to fill the gap of awareness and medical facilities for the marginalized sections of humanity. The organization has built its foundation on humanitarian values that uphold the dignity and right of this much-neglected section of the society and have set out with a vision to ensure that the mentally challenged children remain safe and enjoy equal opportunities. With a staff of over 50, the organization has worked relentlessly towards providing care and protection to the mentally challenged abandoned children and has promoted the rights of such children along with encouraging the society to integrate them. The organization has provided food, medical care, clothing, physiotherapy, special education and speech therapy to 106 children and restored 77 abandoned Mentally Challenged Children with their parents. Their honorable work was awarded the World of Children Award by the World of Children Foundation for their Humanitarian service and the Duruva Star Award by the Sudesi Magazine for their service to the Mentally Challenged. With an emphasis on ability rather than disability, their core values reflected in their work include Transparency, Credibility, Equality, Compassion, Dignity, and Inclusion... Read more"
"50","Help a HIV child with monthly groceries by Swadhar IDWC (Institute for Development of Women & Children)","children","Mhalappa is now an active child despite being HIV+
Mhalappa is a 7-year-old boy from a poor family in Ram Nagar, Pune. His parents died of AIDS and he and his sister were sent to live with their aunt and uncle. 
Both the children were HIV+ as well. Mhalappa fell ill often. He had Tuberculosis and could not attend school regularly. Over time, he had to **leave school because of his absenteeism. **The family did not have the money to get him the right nutrition and treatment. His aunt and uncle were distraught and did not know what they could do to improve his health and keep him going. 
He was discovered by Swadhar and added to their project, Rays of Hope. They put him on a protein rich diet of peanuts, jaggery, dates, eggs, and milk powder. This began to increase his strength and immunity. They also provided him antiretroviral treatment recommended by his doctor. 
Mhalappa’s strength has improved a great deal because of Swadhar’s help. He goes to the centre every month with his aunt to collect his nutritional supplements. He has also started going to school regularly.**
Mhalappa is now a much more active and happy child. Although he is still susceptible to infections, his aunt and uncle are confident about his growth. The love and security they provide keeps him going. 
Children like Mhalappa need all the strength they can get. Your donation will give the food and nutrition that their poor families cannot afford. You can give with confidence because every program on our platform is GIVEASSURED.
","Swadhar's Founder Meenakshi Apte was a professor and HOD of Family & Child Welfare in TISS. She witnessed many cases of domestic violence against women. She feels that ignorance amongst women is the main cause of their suffering so in order to have someplace where they can be guided, counseled and made aware of their rights, she and other like-minded women came together and Swadhar was started. Swadhar's mission is to provide services like education, training, guidance, and counseling to underprivileged women and children in order to ensure the protection of their rights, self-reliance, and empowerment.They work towards empowering women and girls through counseling, awareness & education. The organization also conducts reading and overall development classes for children from underprivileged families. Their ray of hope programs works with children who are HIV infected or children whose parents are infected. Groceries, medicines, and nutrition are provided to them.  In 2015, Sanjivani Hingne was awarded the VatsalyaPuraskar by the Akhil Brahmin MadhyavartiSanstha Rehabilitation of children of sex workers. In 2016, Nayana Deshmukh was awarded the Excellence in work by the Lokmanyanagar senior citizens club and the Teachers day award by the Lions Club Care & protection of Children.... Read more"
"51","Sponsor mid day meals to children in Rajasthan by The Akshaya Patra Foundation","children","Give a warm meal to a poor child like Kishan today.
Kishan is a 12-year-old boy from a small village called Baran in Rajasthan. His family belongs to the Saharia community, one of the most primitive tribes of India. The community is extremely poor and suffers from illiteracy and hunger.
Kishan’s father is a farmer and the only earning member of their family of six. They never had enough money to provide food for everyone. Kishan did not get proper nutrition and had no energy during the day.
Although his parents sent Kishan to school, they did not care too much about his education. He was not interested in studies and had trouble concentrating in class.
When The Akshaya Patra foundation began to work with his school, Kishan started getting fresh and tasty meals every day. This got him excited to come to school. Eating a nutritious meal for lunch every day also gave him the strength and energy he needed. He is now able to concentrate and take part in class as he is not hungry or sleepy anymore. 
Kishan’s progress has motivated his parents to send their other children to school. They now have faith that their children will get the nutrition and education they need to sustain themselves while they try to move forward in life.
Your contribution will bring a warm meal to poor children who have no other source of nutrition. Contribute to help more children like Kishan get the food they need to learn and grow. You can give with confidence because every program on our platform is GIVEASSURED.
","The Akshaya Patra Foundation is a non-profit organisation that was founded in Bengaluru, India to fight issues like hunger and malnutrition by implementing the Mid-Day Meal Scheme in the government and government-aided schools. Aiming also to bring children to school, the organization has worked towards reaching more children with wholesome food on every single school day. Continuously leveraging technology to cater to millions of children, their state-of-the-art kitchens have become a subject of study attracting curious visitors from around the world. With humble beginnings of serving just 1,500 children across 5 schools their program has become the world's largest (not-for-profit run) mid-day meal programme serving wholesome food to over 1.6 million children from 13,839 schools across 12 states in India.  Their efforts have been recognized nationally and internationally with awards like CII National Food Safety Awards by the CII Food Safety, International ARC Award by the International ARC honoring outstanding achievements in annual reports and Nikkei Asia Prize by the Nikkei in Economic and Business Innovation. Their mission to feed 5 million children by 2020 reflects the 6,550 strong staff's commitment that no child in India shall be deprived of Education because of Hunger.... Read more"
"52","Sponsor mid day meals to children in Karnataka by The Akshaya Patra Foundation","children","Every monthly donation helps more kids like Anjali get midday meals
Anjali, Pooja, and Chandu are siblings. Their parents have separated and they live with their father and do not meet their mother. Their father went into debt due to some livelihood issues.
 He could not cope with being a single parent and wasn't able to care for them and they were left struggling even for food. They study in Government Higher Primary School, Mysore, Karnataka. The mid-day meal by The Akshaya Patra Foundation is the only thing they look forward to in the day. Anjali says that they love the food they get at the school because it is a lot like the way their mother used to prepare.
 It takes very little to help children like Anjali have a decent meal a day.
","The Akshaya Patra Foundation is a non-profit organisation that was founded in Bengaluru, India to fight issues like hunger and malnutrition by implementing the Mid-Day Meal Scheme in the government and government-aided schools. Aiming also to bring children to school, the organization has worked towards reaching more children with wholesome food on every single school day. Continuously leveraging technology to cater to millions of children, their state-of-the-art kitchens have become a subject of study attracting curious visitors from around the world. With humble beginnings of serving just 1,500 children across 5 schools their program has become the world's largest (not-for-profit run) mid-day meal programme serving wholesome food to over 1.6 million children from 13,839 schools across 12 states in India.  Their efforts have been recognized nationally and internationally with awards like CII National Food Safety Awards by the CII Food Safety, International ARC Award by the International ARC honoring outstanding achievements in annual reports and Nikkei Asia Prize by the Nikkei in Economic and Business Innovation. Their mission to feed 5 million children by 2020 reflects the 6,550 strong staff's commitment that no child in India shall be deprived of Education because of Hunger.... Read more"
"53","Sponsor mid day meals to children in Gujarat by The Akshaya Patra Foundation","children","You could be the reason a child finds motivation to stay in school.
Tabassum is a young girl from a very poor family in Gujarat. Her parents used to leave her at home with her baby sister and go for work. 
Tabassum’s education was not a priority to them. They did not have money for regular meals and thought of school as an added expense they couldn’t afford.
But she had a better life in store for her. Tabassum was discovered and enrolled in a Bal Shramik, an educational space for children who worked as labourers. They allowed her to bring her sister along so her parents did not object to it. 
She was taught recreational activities and both the girls were given a midday meal every day.**
Akshaya Patra Foundation brings nutritious, tasty food to these schools so that children like Tabassum don’t go hungry.
Now both Tabassum and her sister go to school every day. Their parents do not have to worry about their lunch and are motivated to send them to school. Mid-day meals are a big reason why many children like Tabassum have a shot at education and a future. 
Your donation will give children like Tabassum the food that they need to learn and grow. Donate now to help keep such kids in school. You can give with confidence because every program on our platform is GIVEASSURED. 
","The Akshaya Patra Foundation is a non-profit organisation that was founded in Bengaluru, India to fight issues like hunger and malnutrition by implementing the Mid-Day Meal Scheme in the government and government-aided schools. Aiming also to bring children to school, the organization has worked towards reaching more children with wholesome food on every single school day. Continuously leveraging technology to cater to millions of children, their state-of-the-art kitchens have become a subject of study attracting curious visitors from around the world. With humble beginnings of serving just 1,500 children across 5 schools their program has become the world's largest (not-for-profit run) mid-day meal programme serving wholesome food to over 1.6 million children from 13,839 schools across 12 states in India.  Their efforts have been recognized nationally and internationally with awards like CII National Food Safety Awards by the CII Food Safety, International ARC Award by the International ARC honoring outstanding achievements in annual reports and Nikkei Asia Prize by the Nikkei in Economic and Business Innovation. Their mission to feed 5 million children by 2020 reflects the 6,550 strong staff's commitment that no child in India shall be deprived of Education because of Hunger.... Read more"
"54","Sponsor mid day meals to children in Uttar Pradesh by The Akshaya Patra Foundation","children","Every monthly donation helps more kids like Rohit get midday meals
There are certain areas in our country where, even today, education is not seen as an important. Seven-year-old Rohit stays in one such village in Uttar Pradesh. His parents were not interested in sending him to school. With their poverty, education became not as important for them.
 When the mid-day meal program started, they finally agreed to send him to school. In the beginning, he was only interested in the food and did not pay attention in class. However, over time, he started taking interest in his studies.
 He has been a regular student for the past two years. Rohit's mid-day meal has been his access to education. One healthy meal can make a big difference for a child's future.
","The Akshaya Patra Foundation is a non-profit organisation that was founded in Bengaluru, India to fight issues like hunger and malnutrition by implementing the Mid-Day Meal Scheme in the government and government-aided schools. Aiming also to bring children to school, the organization has worked towards reaching more children with wholesome food on every single school day. Continuously leveraging technology to cater to millions of children, their state-of-the-art kitchens have become a subject of study attracting curious visitors from around the world. With humble beginnings of serving just 1,500 children across 5 schools their program has become the world's largest (not-for-profit run) mid-day meal programme serving wholesome food to over 1.6 million children from 13,839 schools across 12 states in India.  Their efforts have been recognized nationally and internationally with awards like CII National Food Safety Awards by the CII Food Safety, International ARC Award by the International ARC honoring outstanding achievements in annual reports and Nikkei Asia Prize by the Nikkei in Economic and Business Innovation. Their mission to feed 5 million children by 2020 reflects the 6,550 strong staff's commitment that no child in India shall be deprived of Education because of Hunger.... Read more"
"55","Sponsor the school fees of a girl child by Vathsalya Charitable Trust","education","Every monthly donation helps educate more girls like Lipika
Lipika Murthy belongs to the lower-income group. Her father passed away due to cardiac arrest and mother is a tailor by profession. Her mother's meager income is not enough to cover both family expenses as well as education. Lipika is studying in Grade 7 at Mohre Public School, Bangalore.
 She was enrolled in the sponsorship program to enable her to continue her studies. With this financial support, her mother is sure that Lipika will complete her education. She is good at studies, enjoys singing and has many friends in school. The mother is thankful for the education support given to Lipika.
 With a little financial support from donors like you to pay fees, children like Lipika get saved from discontinuing their education.
","Vathsalya Charitable Trust was started in 1988 in Bangalore, Karnataka to offer shelter and security to homeless women and children. Vathsalya was started to supplement the services for child care and adoption of destitute children. Their mission is to facilitate the creation of an ecosystem for children to flourish within their adoptive and birth families, by leveraging our experience in the area of family preservation and strengthening. Vathsalya Charitable Trust was started with the goal of providing a family and a home for orphaned and abandoned children. The organization's mission is to preserve and provide a sustainable environment for a healthy mother, children, and families by providing nutrition, education, and counseling.Jessy Job, Executive Director of Vathsalya Charitable Trust is an experienced Social worker who has done her Master's in Social Science. She is specialized in Community Development programme and had been involved in various community programmes for the past 15 years. She also has a Counselling Diploma from TRADA as well as Gender Trainer Training course certificate from Lal Bahadur Shastri National Academy at Mussouri. Close to a 1000 children have received an educational scholarship though Vathsalya... Read more"
"56","Support an underprivileged child with remedial classes by Center For Social Security Action & Research (CSSAR)","education","Every monthly donation helps educate more girls like Pinki
Pinki is 9 and studies in 5th std in a government school in Jhuggi, New Delhi. She was a low performer in school and couldn't do her homework properly. She soon lost interest to go to school. Her uneducated and poor parents could neither teach her nor afford a private tutor to support her.
 Pinki was identified to enroll in the remedial class by CSSAR. With the additional support, she began to perform better and secured first place in her final exams. She now looks forward to going to school and wishes to pursue higher studies.
 Kids like Pinki are in the danger of dropping out of school due to minor learning challenges, you can help them with a little support to stay in school.
","Centre for Social Security and Research aims at strengthening urban poor communities, especially the slum dwellers to participate in the development process for claiming their rights. Students who used to drop out of the schools because of unsatisfactory teaching methods or lack of finances to afford a tutor are regularly attending school these days owing to the remedial classes conducted by CSSAR. The education programme fills the gaps in school education and sustains the interest of children and their parents in a formal education system. The teachers pay individual attention to the students to have a better understanding of the subject. This has helped in enhancing their performance in their schools and motivated them to pursue higher studies.Spoken English classes are also conducted for secondary level school students to enhance their communication skills and make them better equipped for the future. Remedial classes to the school going slum girl children are conducted separately to reach out to the girls in the slums who are generally side-lined or neglected in the education system due to various constraints. So far, CSSAR has educated 3104 children. About 500 children attend the remedial classes every year.... Read more"
"57","Gift tuition and medical expenses of a poor child by Christel House India","education","Khadarali continues to succeed despite poverty.
Khadarali is a young boy from a slum in Bangalore. His parents work as tailors and earn a meagre amount every day. They did not even have enough money to pay for their basic needs. 
Khadaralli was a bright boy filled with a desire to learn and grow. But he did not have the opportunity to go to school. His education was a financial burden that his family could not carry.
When Christel House found him, they wanted to change this for him. The Social Service team from Christel House visited the slum and encouraged his parents to send him to school. They told them how education was important for Khadarali. They helped them understand that education would open different possibilities for him in the future.
CHLC  provided quality education for Khadarali. He is an outstanding student and enjoys taking part in school activities. He joined Taekwondo classes and went on to win the gold medal at the National Taekwondo Competition. He was also selected to attend a fully sponsored Summer Leadership camp in Culver, Indianapolis, USA.
A little financial help is all a child like Khadarali needs to set him flying. Your donation could give a poor child a chance to excel. You can give with confidence because every program on our platform is GIVEASSURED.
","If you give a man a fish, you feed him for a day; teach a man to fish and you feed him for a lifetime is the philosophy on which Christel House India operates. Their vision is to help the children break the shackles of poverty and make them independent and productive for the nation. Since no one chooses to be poor, Christel House is designed to transform the lives of these impoverished children. After being a part of Christel House Learning Center, the outlook of the children coming from a weak financial background has completely changed; they are now more hygienic and enthusiastic about studies and excel not only in classroom studies but extra-curricular activities too. Christel House Learning Center is a place where children are not only fed, educated and given health care but values like respect, responsibility, integrity, a love for learning are inculcated in them to maximize their human potential. They focus on the holistic development of the child so that they can live with dignity and pride. 879 Students (5 - 18 years) are receiving free of cost quality education, medical care, and nutrition in Christel House Learning Centre as of now.... Read more"
"58","Educate an underprivileged child by Empowering Minds Society for Research and Development","education","Every monthly donation helps educate more kids like Rashid
Rashid was seven when lost his father and due to financial constraints they were rendered homeless. Rashid discontinued his education and started helping his mother, a street vendor. They earn about Rs.2000/- ($31) monthly.
 He was then enrolled in the Education Centre. Rashid is a quick learner. He is an average student but a positive child. He's always ready to learn new things. With guidance, he has blossomed into a confident student. He currently studies in 4th grade. Rashid loves to play cricket, dancing and participates in all the cultural events of the School.
 The nominal school admission charges have been waived off for him. He is also provided free books and uniform. Children like Rashid are looking for your help for their education.
","Empowering Minds -Society for Research and Development (EM) is a registered NGO which utilizes various participative methodologies in working with individuals and communities for empowering them to attain a better quality of life and sustained development. They started with a voluntary training assignment for a research project with the local NGOs in Delhi and since then they have worked on various small but interesting projects like providing support services to individuals and groups on health-related matters, counseling, training and proposal development for grass root organizations etc. Education, Health, Skills development, research, and training are the areas that they focus on. 250 children have been re-enrolled in schools, 800 women reached under various awareness programme,60 families have received health-related counseling in the past one year under the organization.  They have transformed the lives of many by their ceaseless efforts in creating awareness about education, promoting mental and physical health care and support and recognizing their potentials and empowering individuals and communities for a better living.... Read more"
"59","Sponsor the education of a child by IDEA Foundation","education","You can help girls like Akshada stop worrying about their school fees
Akshada is a young girl from a slum in Maharashtra. Her mother works as a maid and her father is a gardener. They were both never able to earn enough money to support their family of five.
Akshada felt sad when she saw her classmates get new school bags and go for picnics but she knew that her parents could not afford those luxuries. She kept attending school but became afraid when her teachers started to remind her to pay the school fees. She started to worry if being the oldest child, she might have to stop going to school. 
A social worker who knew her story brought her case to IDEA foundation. Akshaya has been studying under the IDEA sponsorship program ever since. She is now 15 years old and in Class 10. 
Akshada and her family used the scholarship earnestly. She worked very hard and got 84 percent in Class 9. Apart from studies, she also takes part in co-curricular activities and enjoys them. IDEA also provides her with individual guidance from the social worker and takes her on exposure visits to help her plan her future. 
She is a focused and driven girl and is working hard to grow into an independent young woman. She also attended a spoken English class recently. This has made her more confident and she is now excited about the possibilities her future holds!
You can help poor children like Akshada by contributing to send them to school and get them uniforms. You can give with confidence because every program on our platform is GIVEASSURED. Your contribution will give children a reason to look forward to their future!
","Foundation for Initiatives in Development and Education for All (IDEA) is an NGO that was originated by a team of qualified and experienced social scientists and social workers, to deal with the problems in education and developmental issues of the marginalized people, realizing the need for adopting a holistic approach to minimize school dropout. Their activities include Education assistance, Teacher training, Business development training and digital literacy. Started in a slum, its presence has spread out to 17 communities and 26 villages in Maharashtra where they have improved the lives of 10500 children, 3700 youth, and 4500 women. Such efforts of social uplifting activities had captured the attention of the Excellence Dhyas Foundation when they honored IDEA with the Social Excellence Award.  Additionally, their quality of reporting was also commended by the Guide Star India Platinum certification who felicitated them with the Accountability and Transparency award. All these activities and achievements of IDEA bring them closer to their mission of providing equal opportunities to underprivileged sections of society and assist them in their holistic development.... Read more"
"60","Feed nutritious meals to a poor rural child by Isha Education","education","Every monthly donation helps more kids like Bairavi get midday meals
Bairavi's father is a daily wage labourer but due to ill-health can't work regularly. The house they live in has a leaky roof and unhygienic surroundings. Even one meal a day is a distant dream for them. Isha Vidya convinced the parents to admit her to the Isha school after promising scholarship.
 Through a medical camp conducted in the school, Bairavi was diagnosed as under-nourished and anemic. After regular intake of the nutritious and tasty mid-day meal with proteins, she started to gain strength. By the second medical camp, her weight was normal and she is no longer anemic.
 Unfortunately, a mid-day meal is the only good meal a poor child gets and this program helps a child with the basic right to a hot meal.
","Isha Vidhya rural schools have been started in villages (under the umbrella of Isha Education, established in 2005) to provide high-quality school education to underprivileged rural children who cannot otherwise access or afford it. Isha Vidhya’s English-medium schools open the door for rural children to prepare for higher studies and to join the workforce. The holistic, activity-based approach of Isha Vidhya’s educational system, nurtures children’s development beyond just academics, ensuring that students realize their full potential and learn in a joyful manner.With 10 schools and over 8500 students, the members of Isha Vidya actively support and promote education among female children in the villages as a result of which their schools have seen an increased enrolment of girl children.60% of our children are first generation school goers and are on scholarship. The on-going pandemic has severely affected the families of our children. This year with CSR funds nearly non-existent, we are entirely dependent on individual donors to contribute for the scholarships of the students. This campaign is to seek your support for these deserving children.... Read more"
"61","Sponsor the meals of a poor tribal child by Kalinga Institute of Social Sciences","education","You could gift tribal children the hope of a better tomorrow.
Subash is young boy from a poor tribal village in Orissa. His parents hardly earned and could not even afford the basic necessities of their family.
They did not send Subash to school and there were days with no food on the table. Subash’s life seemed hopeless until he was brought to Kalinga Institute of Social Sciences.
The institute gives him education free of cost. They also provide three meals and a snack every day. This gives him the needed nutrition to learn and grow. He also gets the energy he needs to take part in after-school activities.
Tribal children across India do not have access to basic requirements such as nutrition and healthcare. It is necessary that they receive these so that they can study, earn a living and break the cycle of poverty.
You can gift these children meals and school supplies with a steady contribution. You can give with confidence because every program on our platform is GIVEASSURED. Your gift could give these children a shot at a different future, one filled with hope and possibility.
","Kalinga Institute of Social Sciences (KISS) is a 25-year-old organization that was founded in Orissa as a residential tribal school with the objective of providing quality education to the tribal children to help them overcome poverty and injustice. Considering education akin to providing eyesight to the blind, the founder of the institution rode on a mission to eradicate poverty and empower the destitute sections of the society through education and sustainable livelihood preserving the tribal heritage, culture, and values. The efforts of their strong workforce of 927 full-time staff and 1295 volunteers quickly gained momentum and started transforming the tribal areas with a student strength of crossing 25,000 and over 10000 meals served daily.  KISS was bestowed as one of the Top 10 in India and Ranked 223rd amongst the Best 500 NGOs in the World by the NGO Advisor. Further, it was also awarded the Platinum level Certification by the Guide star India for its Documentation, Financial transparency and Compliance. KISS has persistently strived to become a preferred center of learning for the poor indigenous sections of the society with their focus on formal education aimed at providing sustainable livelihood and scope for holistic development.... Read more"
"62","Educate a poor tribal child by Kalinga Institute of Social Sciences","education","Every monthly donation helps educate more kids like Mansingh
Mansingh Soren is from Gopalpur village in Odisha. Mansingh lost his father and his mother works as a daily wage worker. With the meager income, it was very difficult for his mother to provide for his education. 
 So, his mother admitted him in KISS. With guidance and care, Mansingh started a new life. He concentrated in his studies and does well in academics. Mansingh is now in class 7. Looking at his interest in Kho-kho, he was encouraged by his coach. Mansingh participated in the Under 14 State level Kho-Kho meet where everyone appreciated his performance.
 He now looks forward to his future and hopes to join the army. Your support can help poor tribal children like Mansingh achieve a better future.
","Kalinga Institute of Social Sciences (KISS) is a 25-year-old organization that was founded in Orissa as a residential tribal school with the objective of providing quality education to the tribal children to help them overcome poverty and injustice. Considering education akin to providing eyesight to the blind, the founder of the institution rode on a mission to eradicate poverty and empower the destitute sections of the society through education and sustainable livelihood preserving the tribal heritage, culture, and values. The efforts of their strong workforce of 927 full-time staff and 1295 volunteers quickly gained momentum and started transforming the tribal areas with a student strength of crossing 25,000 and over 10000 meals served daily.  KISS was bestowed as one of the Top 10 in India and Ranked 223rd amongst the Best 500 NGOs in the World by the NGO Advisor. Further, it was also awarded the Platinum level Certification by the Guide star India for its Documentation, Financial transparency and Compliance. KISS has persistently strived to become a preferred center of learning for the poor indigenous sections of the society with their focus on formal education aimed at providing sustainable livelihood and scope for holistic development.... Read more"
"63","Help a child overcome learning challenges by Navjyoti India Foundation","education","Every monthly donation helps to educate more kids like Kajal
Learning Challenges with no help often result in children dropping out of school. Kajal, a grade 4 student from an underserved area in Delhi faced challenges grasping what the teachers taught her. However, her parents were illiterate and with limited income couldn't afford a tutor.
 Kajal was losing interest in studies when she was enrolled in the Remedial Education Project. With a little support, she began to improve and has consistently scored 60% in academics. Now is high school, she volunteers to spread the cause of education. She surveyed a slum as a part of a project to mainstream dropout children.
 Many kids like Kajal are on the verge of dropping out for the want of a little help, you can help save their future.
","Navjyoti India Foundation is a not-for-profit organisation which challenges the social inequalities and empowers the vulnerable by making them independent to help themselves. Navjyoti began with an aim to improve, correct de-addiction and rehabilitation of the drug addicts as a crime prevention measure. They have established many camps and programs to help people to face the economic and social challenges. They have their members over to 4900 to assist the poor people by their outreach activities.They also focus to empower women through various projects, they have educated 1109 women till now. They have cover 977 women and children were skilled in the skills up-gradation program. Because of their hard work and dedication, they were awarded 'The Pride of India Award 2015' by the Toppers Education Society Education; 'The Promoting Women Empowerment Award 2016' by the Ph.D. Chamber 'Women Empowerment. They were also awarded the Swachh Doot' Award 2016 by the North-Ex Cooperative Society for their Environment & Social Reform; 'Health Care Leadership Award 2012' by the Knowledge Resource Development and Welfare Group Health Care;and Quality Initiative Mission Award 2013 for Innovation and Excellence in School Education by the Knowledge Resource Development and Welfare Group(KRDWG) Child Education.... Read more"
"64","Educate underprivileged rural children by Psycho Educational Society","education","Every monthly donation helps educate more kids like Pooja
Kumari Pooja, 11 belongs to a poor underprivileged family in Mathura, UP. They could not afford educational expenses and hence working as a child laborer.
 She was shortlisted through a survey and was motivated to join the B.D. P school with the assurance of free education. She was also provided with school bags and sweater. She is also being taught tailoring and other vocational skills which will help her as she grows. Pooja is now a very happy student. She is in Grade 7 and good at studies and enjoys learning.
 She also looks forward to pursuing higher education. Kids deprived of education can get access to a school with a little support from donors like you.
","Psycho-Educational Society (PES) is an NGO with the prime objectives of uplifting the less privileged children in rural areas by providing basic education and creating awareness among the illiterate women on family welfare, health education and personal hygiene. Eminent Psychologist and educationist Dr. T.R. Paliwal started the society after his retirement to work for the poor, underprivileged downtrodden section of society in rural areas to impart education, health, and overall development. The Secretary K.M. Paliwal has a clear mission to uplift the Rural Underprivileged section of the society by running formal educational programs and vocational training. PES established the B.D.Paliwal school in the year 2000 in the interiors of Mathura district of Uttar Pradesh. Close to 500 students have successfully completed 8th grade. In addition to imparting education in the formal mode, the school conducts skill development programs for girls and village women in tailoring, embroidery, knitting, and agriculture. Over a 100 rural women have benefited from these programs.... Read more"
"65","Support the holistic development of a child by Purkal Youth Development Society","education","Every monthly donation helps educate more kids like Sonali
PYDS believes in the adage that education does not come books alone. Sonali came to PYDS as a 9-year-old. Even though her family is very poor and lives in a remote village, she had a great deal of potential.
 She had little understanding of her cultural heritage, the wider world and had missed out on important lessons like teamwork. In PYDS, Sonali was introduced to sports and arts. Unsure at first, she soon learned to play badminton and basketball and is now a proud member of her team. She has also developed a great interest in Kathak and dances with grace. She is now a regular in all school events.
 Support this well-being program and gift the child you support the childhood she deserves.
","Purkal Youth Development Society came into existence when Mr Swamy noticed gaping lacunae that existed in the rural community in terms of youth employability. The youth in that area lacked opportunities, motivation, and determination to move forth. Thus, PYDS came into being. Located in village Purkal, Dehradun, Uttarakhand, Purkal Youth Development Society (PYDS) provides quality education and holistic care through a CBSE affiliated school, from Grade I to XII to children (predominantly girls) with potential, from deeply needy and underprivileged families. This is done through a combination of high-quality academics, adequate nutrition, comprehensive health care, and full exposure to co-curricular areas, at no cost to the families. Their ultimate objective is to prepare the students for adequate employability. The parents/guardians of these students are mostly illiterate or semi-literate employed as marginal farmers, domestic helpers, farmers, drivers and watchmen. We give preference to children of needy, single mothers.For its work, the Society has been awarded numerous times. Some of these prestigious awards include Spirit of Humanity Annual Award, Life Time Achievement SABERA Award, International Social Impact Award, India NGO Awards. In its journey, the Society has impacted 839 beneficiaries, out of which 114 are adequately employed in varied fields and 161 are pursuing further education.... Read more"
